kernel,gpu__time_duration.sum,gpu__time_duration.avg,sm__throughput.avg.pct_of_peak_sustained_elapsed,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,dram__throughput.avg.pct_of_peak_sustained_elapsed,sm__warps_active.avg.pct_of_peak_sustained_active,launch__occupancy_limit_blocks,launch__occupancy_limit_registers,launch__occupancy_limit_shared_mem,launch__occupancy_limit_warps,launch__registers_per_thread,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,dram__bytes.sum,l1tex__t_bytes_pipe_lsu_mem_global_op_ld.sum,l1tex__t_bytes_pipe_lsu_mem_global_op_st.sum
"void potrf_alg2_cta_upper<float, float, 32>(int, int, T1 *, unsigned long, int *)",37.824,37.824,0.551326,0.551326,,97.922998,16.0,2.0,128.0,1.0,22.0,,,,
"void potrf_alg2_upper_trsm<float, 5, 3>(int, int, T1 *, unsigned long, T1 *, unsigned long)",19.104,19.104,25.167634,25.167634,,24.927108,16.0,8.0,6.0,4.0,28.0,,,,
"void potrf_alg2_syrk_kernel<float, 1, 0, 5, 5, 3, 4, 4>(int, int, int, const T1 *, unsigned long, T1 *, unsigned long, bool)",22.4,22.4,30.421248,30.421248,,42.002498,16.0,5.0,14.0,4.0,48.0,,,,
"void potrf_alg2_cta_upper<float, float, 32>(int, int, T1 *, unsigned long, int *)",37.92,37.92,0.549329,0.549329,,97.977678,16.0,2.0,128.0,1.0,22.0,,,,
"void potrf_alg2_upper_trsm<float, 5, 3>(int, int, T1 *, unsigned long, T1 *, unsigned long)",18.656,18.656,23.202711,23.202711,,24.972969,16.0,8.0,6.0,4.0,28.0,,,,
"void potrf_alg2_syrk_kernel<float, 1, 0, 5, 5, 3, 4, 4>(int, int, int, const T1 *, unsigned long, T1 *, unsigned long, bool)",21.856,21.856,25.774248,25.774248,,37.555157,16.0,5.0,14.0,4.0,48.0,,,,
"void potrf_alg2_cta_upper<float, float, 32>(int, int, T1 *, unsigned long, int *)",37.76,37.76,0.551581,0.551581,,97.86562,16.0,2.0,128.0,1.0,22.0,,,,
"void potrf_alg2_upper_trsm<float, 5, 3>(int, int, T1 *, unsigned long, T1 *, unsigned long)",18.336,18.336,20.94515,20.94515,,25.023534,16.0,8.0,6.0,4.0,28.0,,,,
"void potrf_alg2_syrk_kernel<float, 1, 0, 5, 5, 3, 4, 4>(int, int, int, const T1 *, unsigned long, T1 *, unsigned long, bool)",16.864,16.864,27.611522,27.611522,,31.064765,16.0,5.0,14.0,4.0,48.0,,,,
"void potrf_alg2_cta_upper<float, float, 32>(int, int, T1 *, unsigned long, int *)",37.888,37.888,0.549627,0.549627,,97.901965,16.0,2.0,128.0,1.0,22.0,,,,
"void potrf_alg2_upper_trsm<float, 5, 3>(int, int, T1 *, unsigned long, T1 *, unsigned long)",18.016,18.016,18.711574,18.711574,,24.93806,16.0,8.0,6.0,4.0,28.0,,,,
"void potrf_alg2_syrk_kernel<float, 1, 0, 5, 5, 3, 4, 4>(int, int, int, const T1 *, unsigned long, T1 *, unsigned long, bool)",16.096,16.096,22.43166,22.43166,,28.243583,16.0,5.0,14.0,4.0,48.0,,,,
"void potrf_alg2_cta_upper<float, float, 32>(int, int, T1 *, unsigned long, int *)",37.792,37.792,0.551361,0.551361,,98.333493,16.0,2.0,128.0,1.0,22.0,,,,
"void potrf_alg2_upper_trsm<float, 5, 3>(int, int, T1 *, unsigned long, T1 *, unsigned long)",18.336,18.336,15.770206,15.770206,,24.958136,16.0,8.0,6.0,4.0,28.0,,,,
"void potrf_alg2_syrk_kernel<float, 1, 0, 5, 5, 3, 4, 4>(int, int, int, const T1 *, unsigned long, T1 *, unsigned long, bool)",11.968,11.968,23.61409,23.61409,,24.589529,16.0,5.0,14.0,4.0,48.0,,,,
"void potrf_alg2_cta_upper<float, float, 32>(int, int, T1 *, unsigned long, int *)",37.888,37.888,0.549721,0.549721,,97.954123,16.0,2.0,128.0,1.0,22.0,,,,
"void potrf_alg2_upper_trsm<float, 5, 3>(int, int, T1 *, unsigned long, T1 *, unsigned long)",18.048,18.048,13.304444,13.304444,,24.94569,16.0,8.0,6.0,4.0,28.0,,,,
"void potrf_alg2_syrk_kernel<float, 1, 0, 5, 5, 3, 4, 4>(int, int, int, const T1 *, unsigned long, T1 *, unsigned long, bool)",11.968,11.968,17.115856,17.115856,,24.678838,16.0,5.0,14.0,4.0,48.0,,,,
"void potrf_alg2_cta_upper<float, float, 32>(int, int, T1 *, unsigned long, int *)",37.824,37.824,0.551141,0.551141,,97.833469,16.0,2.0,128.0,1.0,22.0,,,,
"void potrf_alg2_upper_trsm<float, 5, 3>(int, int, T1 *, unsigned long, T1 *, unsigned long)",18.24,18.24,10.565639,10.565639,,24.969098,16.0,8.0,6.0,4.0,28.0,,,,
"void potrf_alg2_syrk_kernel<float, 1, 0, 5, 5, 3, 4, 4>(int, int, int, const T1 *, unsigned long, T1 *, unsigned long, bool)",10.944,10.944,12.711193,12.711193,,24.733269,16.0,5.0,14.0,4.0,48.0,,,,
"void potrf_alg2_cta_upper<float, float, 32>(int, int, T1 *, unsigned long, int *)",37.856,37.856,0.549597,0.549597,,97.858744,16.0,2.0,128.0,1.0,22.0,,,,
"void potrf_alg2_upper_trsm<float, 5, 3>(int, int, T1 *, unsigned long, T1 *, unsigned long)",18.112,18.112,7.977056,7.977056,,24.990513,16.0,8.0,6.0,4.0,28.0,,,,
"void potrf_alg2_syrk_kernel<float, 1, 0, 5, 5, 3, 4, 4>(int, int, int, const T1 *, unsigned long, T1 *, unsigned long, bool)",10.944,10.944,7.804384,7.804384,,24.525089,16.0,5.0,14.0,4.0,48.0,,,,
"void potrf_alg2_cta_upper<float, float, 32>(int, int, T1 *, unsigned long, int *)",37.856,37.856,0.551446,0.551446,,98.009719,16.0,2.0,128.0,1.0,22.0,,,,
"void potrf_alg2_upper_trsm<float, 5, 3>(int, int, T1 *, unsigned long, T1 *, unsigned long)",17.536,17.536,5.498606,5.498606,,24.985092,16.0,8.0,6.0,4.0,28.0,,,,
"void potrf_alg2_syrk_kernel<float, 1, 0, 5, 5, 3, 4, 4>(int, int, int, const T1 *, unsigned long, T1 *, unsigned long, bool)",11.104,11.104,3.900428,3.900428,,24.736031,16.0,5.0,14.0,4.0,48.0,,,,
"void potrf_alg2_cta_upper<float, float, 32>(int, int, T1 *, unsigned long, int *)",37.952,37.952,0.549349,0.549349,,97.841464,16.0,2.0,128.0,1.0,22.0,,,,
"void potrf_alg2_upper_trsm<float, 5, 3>(int, int, T1 *, unsigned long, T1 *, unsigned long)",17.536,17.536,2.741926,2.741926,,25.011634,16.0,8.0,6.0,4.0,28.0,,,,
"void potrf_alg2_syrk_kernel<float, 1, 0, 5, 5, 3, 4, 4>(int, int, int, const T1 *, unsigned long, T1 *, unsigned long, bool)",10.4,10.4,1.020577,1.020577,,24.69378,16.0,5.0,14.0,4.0,48.0,,,,
"void potrf_alg2_cta_upper<float, float, 32>(int, int, T1 *, unsigned long, int *)",37.856,37.856,0.551611,0.551611,,97.907138,16.0,2.0,128.0,1.0,22.0,,,,
"void kernel_trsm_l_mul32<float, 8, 1, 1, 0, 0>(int, int, const T1 *, const T1 *, int, T1 *, int, T1, int)",253.952,253.952,51.345032,51.345032,,38.863666,16.0,5.0,7.0,4.0,44.0,,,,
volta_sgemm_128x64_tn,58.144,58.144,39.748206,23.760924,,12.460075,16.0,4.0,5.0,8.0,122.0,,,,
